Source,Target,Type,Id,Label,timeset,Weight,created_at
QuantifiedBob,Dan_Dascalescu,Directed,0,,,1,<[1457977217744.0]>
Krishnan,Patrik_Helenius,Directed,1,,,1,<[1481916320064.0]>
ankoshy,ejain,Directed,2,,,1,<[1472524981551.0]>
markwkoester,Eremolalos,Directed,3,,,1,<[1504857563531.0]>
cfuarte,ejain,Directed,4,,,2,"<[1557658780524.0, 1562073047375.0]>"
patbuen,theCyberMike,Directed,5,,,1,<[1468801483083.0]>
LNP,Agaricus,Directed,6,,,5,"<[1591384441731.0, 1593074263989.0, 1601736980453.0, 1602083546021.0, 1612975883455.0]>"
Agaricus,OP_Engr,Directed,7,,,3,"<[1481066692645.0, 1566837520378.0, 1596061411541.0]>"
Beau_Gunderson,ejain,Directed,8,,,1,<[1455647305693.0]>
michaelforrest,Shelbey,Directed,9,,,1,<[1606208047518.0]>
Justin_Lawler,IsaacGerg,Directed,10,,,2,"<[1498934620550.0, 1499365890340.0]>"
rickroyphd,ejain,Directed,11,,,2,"<[1545028448802.0, 1563219578826.0]>"
ejain,xbliss,Directed,12,,,3,"<[1495392979399.0, 1495476898146.0, 1500336322615.0]>"
rain8dome9,Guzik,Directed,13,,,1,<[1561599036225.0]>
Sergio,FORT_Simon,Directed,14,,,2,"<[1614847690957.0, 1615294012098.0]>"
cyberthal,Agaricus,Directed,15,,,2,"<[1575484163149.0, 1575570280964.0]>"
Agaricus,dgorski,Directed,16,,,2,"<[1565122518470.0, 1565808187486.0]>"
Justin_Lawler,Amit_Kohli,Directed,17,,,2,"<[1467185774536.0, 1470919361498.0]>"
cjroth,Skav,Directed,18,,,2,"<[1445040155826.0, 1445298758603.0]>"
Krishnan,ejain,Directed,19,,,1,<[1484347634017.0]>
azure,SharaRaqs,Directed,20,,,1,<[1537904732869.0]>
ejain,logos,Directed,21,,,2,"<[1506215537912.0, 1528060014622.0]>"
Kaido,Praxiteles,Directed,22,,,1,<[1492522801678.0]>
Froukje,dreeds,Directed,23,,,1,<[1595848926409.0]>
florian,lotusflyer,Directed,24,,,1,<[1484053861479.0]>
thinkerdog,Guzik,Directed,25,,,1,<[1542133320562.0]>
basisbreakdown,ejain,Directed,26,,,5,"<[1453310704924.0, 1453315320915.0, 1453749483922.0, 1455767302147.0, 1457456617631.0]>"
ejain,cfuarte,Directed,27,,,1,<[1557692198021.0]>
LNP,ejain,Directed,28,,,14,"<[1590911063372.0, 1591261658892.0, 1593158097548.0, 1597330723434.0, 1597933640508.0, 1600847789800.0, 1600942436618.0, 1601286646850.0, 1602669429985.0, 1604832019292.0, 1605454850075.0, 1610473297941.0, 1610639774174.0, 1610639956480.0]>"
Agaricus,ejain,Directed,29,,,9,"<[1473138975258.0, 1544820665355.0, 1544820885506.0, 1547601716182.0, 1556510179049.0, 1594221639440.0, 1596061522545.0, 1597332136182.0, 1602773993883.0]>"
JBL,Agaricus,Directed,30,,,1,<[1604215140449.0]>
gedankenstuecke,hermandevries,Directed,31,,,2,"<[1601301586872.0, 1604925649601.0]>"
Caroline17,Dan_Dascalescu,Directed,32,,,1,<[1483108022196.0]>
LNP,Guzik,Directed,34,,,3,"<[1601824995202.0, 1601893936700.0, 1601904317290.0]>"
ejain,QuantifiedBob,Directed,35,,,5,"<[1449762978571.0, 1454612322547.0, 1540774259732.0, 1551048615690.0, 1579374720630.0]>"
rain8dome9,Agaricus,Directed,36,,,15,"<[1565131859187.0, 1566968871975.0, 1566971588919.0, 1583463649743.0, 1590187034507.0, 1590686281652.0, 1591222787412.0, 1591380746215.0, 1593708808231.0, 1593823605676.0, 1594156176739.0, 1597691422362.0, 1598550527083.0, 1598656885825.0, 1599414359869.0]>"
gianlucatruda,Agaricus,Directed,37,,,4,"<[1534530829347.0, 1534873586642.0, 1535393073063.0, 1535394199038.0]>"
FirebrandAZ,BATBAT1,Directed,38,,,2,"<[1468385435739.0, 1469607427827.0]>"
pbaxi,basisbreakdown,Directed,39,,,3,"<[1453483639492.0, 1453930757627.0, 1453934520670.0]>"
gedankenstuecke,ejain,Directed,40,,,6,"<[1563205162681.0, 1582530295895.0, 1582622972257.0, 1584387617214.0, 1596116903003.0, 1611596331385.0]>"
Victor_Lee,ernesto,Directed,41,,,1,<[1445195467139.0]>
danwich,Lyuba247,Directed,42,,,1,<[1539573271575.0]>
Qot,ejain,Directed,43,,,2,"<[1483670485184.0, 1483816970755.0]>"
jjnz,ejain,Directed,44,,,1,<[1540123708198.0]>
JeremyGordon,Qek,Directed,45,,,1,<[1489850225291.0]>
Mikey_Sklar,Agaricus,Directed,46,,,1,<[1468603648934.0]>
rain8dome9,madprime,Directed,47,,,3,"<[1575249585115.0, 1576990761238.0, 1578538031360.0]>"
growwithlogan,Tahl,Directed,48,,,1,<[1545929416760.0]>
Adria,Stephen_Burger,Directed,49,,,1,<[1516615752303.0]>
Valeria_Pannunzio,Agaricus,Directed,50,,,5,"<[1552746571970.0, 1556113066762.0, 1557830607286.0, 1567077370547.0, 1569600428428.0]>"
roxx,justintimmer,Directed,51,,,1,<[1479784228358.0]>
LNP,tomlawrence,Directed,52,,,1,<[1597850814182.0]>
Valerie_Lanard,thinkerdog,Directed,53,,,1,<[1567540944716.0]>
kastan,petioptrv,Directed,54,,,1,<[1553011971061.0]>
