created_at,username,Target,topic_id,creation_date,category_id,Dominant_Topic,Keywords
2016-03-14 17:40:17.744000+00:00,QuantifiedBob,Dan_Dascalescu,2139.0,2016-03-14,13.0,9.0,"device, zeo, sensor, sleep, night, file, headband, battery, post, temperature"
2016-12-16 19:25:20.064000+00:00,Krishnan,Patrik_Helenius,3115.0,2016-12-16,5.0,7.0,"service, goal, analysis, tool, habit, health, product, step, user, source"
2016-08-30 02:43:01.551000+00:00,ankoshy,ejain,2542.0,2016-08-30,7.0,1.0,"export, app, apple, access, file, code, visualization, metric, api, database"
2017-09-08 07:59:23.531000+00:00,markwkoester,Eremolalos,4373.0,2017-09-08,7.0,4.0,"app, work, activity, track, phone, task, user, apps, example, mood"
2019-07-02 13:10:47.375000+00:00,cfuarte,ejain,7031.0,2019-07-02,21.0,3.0,"test, effect, health, result, blood, doctor, level, measure, experiment, question"
2016-07-18 00:24:43.083000+00:00,patbuen,theCyberMike,2559.0,2016-07-18,7.0,7.0,"service, goal, analysis, tool, habit, health, product, step, user, source"
2021-02-10 16:51:23.455000+00:00,LNP,Agaricus,4421.0,2021-02-10,13.0,9.0,"device, zeo, sensor, sleep, night, file, headband, battery, post, temperature"
2016-12-06 23:24:52.645000+00:00,Agaricus,OP_Engr,3149.0,2016-12-06,8.0,3.0,"test, effect, health, result, blood, doctor, level, measure, experiment, question"
2016-02-16 18:28:25.693000+00:00,Beau_Gunderson,ejain,2035.0,2016-02-16,7.0,1.0,"export, app, apple, access, file, code, visualization, metric, api, database"
2020-11-24 08:54:07.518000+00:00,michaelforrest,Shelbey,8321.0,2020-11-24,7.0,1.0,"export, app, apple, access, file, code, visualization, metric, api, database"
2017-07-01 18:43:40.550000+00:00,Justin_Lawler,IsaacGerg,4114.0,2017-07-01,7.0,3.0,"test, effect, health, result, blood, doctor, level, measure, experiment, question"
2019-07-15 19:39:38.826000+00:00,rickroyphd,ejain,7079.0,2019-07-15,41.0,4.0,"app, work, activity, track, phone, task, user, apps, example, mood"
2017-05-22 18:14:58.146000+00:00,ejain,xbliss,327.0,2017-05-22,7.0,2.0,"rate, heart, hrv, device, oura, measure, emfit, watch, hr, stress"
2019-06-27 01:30:36.225000+00:00,rain8dome9,Guzik,6617.0,2019-06-27,7.0,9.0,"device, zeo, sensor, sleep, night, file, headband, battery, post, temperature"
2021-03-04 08:48:10.957000+00:00,Sergio,FORT_Simon,9066.0,2021-03-04,10.0,5.0,"people, research, question, project, work, self, health, study, survey, note"
2019-12-05 18:24:40.964000+00:00,cyberthal,Agaricus,7585.0,2019-12-05,41.0,5.0,"people, research, question, project, work, self, health, study, survey, note"
2019-08-14 18:43:07.486000+00:00,Agaricus,dgorski,7148.0,2019-08-14,10.0,7.0,"service, goal, analysis, tool, habit, health, product, step, user, source"
2016-06-29 07:36:14.536000+00:00,Justin_Lawler,Amit_Kohli,397.0,2016-06-29,7.0,2.0,"rate, heart, hrv, device, oura, measure, emfit, watch, hr, stress"
2015-10-17 00:02:35.826000+00:00,cjroth,Skav,1658.0,2015-10-17,8.0,3.0,"test, effect, health, result, blood, doctor, level, measure, experiment, question"
2017-01-13 22:47:14.017000+00:00,Krishnan,ejain,3328.0,2017-01-13,5.0,3.0,"test, effect, health, result, blood, doctor, level, measure, experiment, question"
2018-09-25 19:45:32.869000+00:00,azure,SharaRaqs,5671.0,2018-09-25,41.0,9.0,"device, zeo, sensor, sleep, night, file, headband, battery, post, temperature"
2018-06-03 21:06:54.622000+00:00,ejain,logos,5447.0,2018-06-03,7.0,2.0,"rate, heart, hrv, device, oura, measure, emfit, watch, hr, stress"
2017-04-18 13:40:01.678000+00:00,Kaido,Praxiteles,2985.0,2017-04-18,5.0,7.0,"service, goal, analysis, tool, habit, health, product, step, user, source"
2020-07-27 11:22:06.409000+00:00,Froukje,dreeds,5580.0,2020-07-27,7.0,0.0,"food, calorie, track, button, image, log, press, water, record, item"
2017-01-10 13:11:01.479000+00:00,florian,lotusflyer,3294.0,2017-01-10,7.0,2.0,"rate, heart, hrv, device, oura, measure, emfit, watch, hr, stress"
2018-11-13 18:22:00.562000+00:00,thinkerdog,Guzik,2065.0,2018-11-13,7.0,2.0,"rate, heart, hrv, device, oura, measure, emfit, watch, hr, stress"
2016-02-18 03:48:22.147000+00:00,basisbreakdown,ejain,2065.0,2016-02-18,7.0,2.0,"rate, heart, hrv, device, oura, measure, emfit, watch, hr, stress"
2019-05-12 20:16:38.021000+00:00,ejain,cfuarte,6284.0,2019-05-12,21.0,3.0,"test, effect, health, result, blood, doctor, level, measure, experiment, question"
2020-06-04 09:07:38.892000+00:00,LNP,ejain,8136.0,2020-06-04,18.0,8.0,"body, withings, scale, measure, mass, activity, blood, measurement, health, happiness"
2019-01-16 01:21:56.182000+00:00,Agaricus,ejain,405.0,2019-01-16,7.0,1.0,"export, app, apple, access, file, code, visualization, metric, api, database"
2020-11-01 07:19:00.449000+00:00,JBL,Agaricus,8656.0,2020-11-01,7.0,3.0,"test, effect, health, result, blood, doctor, level, measure, experiment, question"
2020-11-09 12:40:49.601000+00:00,gedankenstuecke,hermandevries,8657.0,2020-11-09,17.0,6.0,"brain, effect, change, result, experiment, headache, food, video, point, track"
2016-12-30 14:27:02.196000+00:00,Caroline17,Dan_Dascalescu,1606.0,2016-12-30,13.0,9.0,"device, zeo, sensor, sleep, night, file, headband, battery, post, temperature"
2020-10-03 14:56:20.453000+00:00,LNP,Agaricus,8383.0,2020-10-03,41.0,6.0,"brain, effect, change, result, experiment, headache, food, video, point, track"
2020-10-04 15:23:15.202000+00:00,LNP,Guzik,8556.0,2020-10-04,7.0,2.0,"rate, heart, hrv, device, oura, measure, emfit, watch, hr, stress"
2016-02-04 18:58:42.547000+00:00,ejain,QuantifiedBob,2014.0,2016-02-04,7.0,8.0,"body, withings, scale, measure, mass, activity, blood, measurement, health, happiness"
2020-03-06 03:00:49.743000+00:00,rain8dome9,Agaricus,7017.0,2020-03-06,41.0,6.0,"brain, effect, change, result, experiment, headache, food, video, point, track"
2018-08-17 18:33:49.347000+00:00,gianlucatruda,Agaricus,5743.0,2018-08-17,24.0,6.0,"brain, effect, change, result, experiment, headache, food, video, point, track"
2016-07-13 04:50:35.739000+00:00,FirebrandAZ,BATBAT1,2458.0,2016-07-13,13.0,9.0,"device, zeo, sensor, sleep, night, file, headband, battery, post, temperature"
2016-01-27 22:42:00.670000+00:00,pbaxi,basisbreakdown,1510.0,2016-01-27,17.0,0.0,"food, calorie, track, button, image, log, press, water, record, item"
2021-01-25 17:38:51.385000+00:00,gedankenstuecke,ejain,8922.0,2021-01-25,7.0,9.0,"device, zeo, sensor, sleep, night, file, headband, battery, post, temperature"
2015-10-18 19:11:07.139000+00:00,Victor_Lee,ernesto,595.0,2015-10-18,7.0,9.0,"device, zeo, sensor, sleep, night, file, headband, battery, post, temperature"
2018-10-15 03:14:31.575000+00:00,danwich,Lyuba247,1182.0,2018-10-15,13.0,3.0,"test, effect, health, result, blood, doctor, level, measure, experiment, question"
2017-01-07 19:22:50.755000+00:00,Qot,ejain,2518.0,2017-01-07,7.0,4.0,"app, work, activity, track, phone, task, user, apps, example, mood"
2018-10-21 12:08:28.198000+00:00,jjnz,ejain,5966.0,2018-10-21,21.0,5.0,"people, research, question, project, work, self, health, study, survey, note"
2017-03-18 15:17:05.291000+00:00,JeremyGordon,Qek,3615.0,2017-03-18,7.0,7.0,"service, goal, analysis, tool, habit, health, product, step, user, source"
2016-07-15 17:27:28.934000+00:00,Mikey_Sklar,Agaricus,2542.0,2016-07-15,7.0,1.0,"export, app, apple, access, file, code, visualization, metric, api, database"
2019-12-22 04:59:21.238000+00:00,rain8dome9,madprime,7289.0,2019-12-22,41.0,6.0,"brain, effect, change, result, experiment, headache, food, video, point, track"
2018-12-27 16:50:16.760000+00:00,growwithlogan,Tahl,4250.0,2018-12-27,7.0,5.0,"people, research, question, project, work, self, health, study, survey, note"
2018-01-22 10:09:12.303000+00:00,Adria,Stephen_Burger,1018.0,2018-01-22,21.0,3.0,"test, effect, health, result, blood, doctor, level, measure, experiment, question"
2019-03-16 14:29:31.970000+00:00,Valeria_Pannunzio,Agaricus,6159.0,2019-03-16,12.0,8.0,"body, withings, scale, measure, mass, activity, blood, measurement, health, happiness"
