data,track,sleep,work,self,app,measure,metric,start,question,export,help,efn,amp,heart,rate,health,emfit,experiment,example,device,people,note,analysis,food,learn,dandruff,eat,oura
0,6,0,0,1,4,0,0,3,1,0,0,0,7,0,0,0,0,0,2,1,0,0,0,8,3,6,23,1
0,4,0,5,1,8,6,4,2,1,0,1,0,0,0,1,0,0,3,0,0,0,2,1,5,3,6,2,0
21,1,5,0,5,5,1,1,0,1,0,0,0,3,1,1,0,0,2,2,0,3,0,8,0,1,1,1,0
10,0,0,7,0,2,0,1,1,1,1,1,0,7,0,0,0,0,1,3,0,1,0,1,0,0,3,1,0
18,3,3,6,3,3,1,1,1,0,0,3,0,6,0,1,1,0,1,3,0,5,4,2,0,2,3,1,0
14,2,0,3,3,1,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,1,0,0,1,2,0
0,1,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0
15,1,2,1,1,3,4,8,2,1,0,1,0,2,2,0,0,0,2,1,0,1,1,6,0,4,1,4,3
4,4,0,0,2,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2,1,2,6,0
0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,2,0,0,2,2
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,2,2,0
0,4,0,2,0,0,2,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,3,0
0,2,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0
5,0,0,1,1,9,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,5,0
2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,1
1,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,7,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1,14,17,4,0,12,3,0,0,0,1,0,0,2,1,4,10,1,1,1,2,0,0,0,0,0,0,1,7
6,3,0,3,0,10,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0
0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,4,3,0,3,4,0,0,0,1,0,0,1,0,3,1,0,0,0,2,0,0,0,0,1,0,0,0
1,1,1,0,0,0,4,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,1,0,0,1,0,3,0
10,29,4,2,3,5,10,2,4,2,2,8,0,2,0,3,2,0,11,2,0,1,0,3,7,8,21,18,2
0,3,1,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
8,0,0,3,1,3,0,1,1,4,0,4,0,2,1,2,6,0,0,2,0,1,0,1,1,1,0,6,1
